SourceType,Title,Year,Pages,JournalName,Issue,URL,Tag,Month,StandardNumber,Publisher,Volume,City,Monitoring year,Study sites,Dataset size,Taxa,Analysis,Preprocessing,Analysis Methods,Automation Tools,Prog. language,Code availability,Data Availability,Class. Accuracy,Evauation Method,Gaps
Book,"2020 State of the Science Report, Chapter 10: Environmental Monitoring Technologies and Techniques for Detecting Interactions of Marine Animals with Turbines",2020,,,,http://dx.doi.org/10.2172/1633202,"2020-state-of-the-science-report,-chapter-10:-environmental-monitoring-technologies-and-techniques-for-detecting-interactions-of-marine-animals-with-turbines",11,,,,,2022,Habitat type: Tropical Forest; Elevation: 1500m; Latitude: 12.9716 N; Longitude: 77.5946 E,Train: 1000 files; Test: 200 files; Duration: 10 hours; Size: 5GB,Birds,"Deep Learning, BirdNet","Spectrogram, Noise reduction",CNN,BirdNet,Python,Yes,Yes,90%,Cross-validation,Improved detection for overlapping calls
Journal Article,A Fish and Dolphin Biophony in the Boat Noise-Dominated Soundscape of the Cres-Lošinj Archipelago (Croatia),2022,,Journal of Marine Science and Engineering,2,http://dx.doi.org/10.3390/jmse10020300,a-fish-and-dolphin-biophony-in-the-boat-noise-dominated-soundscape-of-the-cres-lošinj-archipelago-(croatia),11,2077-1312,MDPI AG,,,2020,Habitat type: Coastal marine environment; Elevation: Sea Level; Latitude: 44.54597 N; Longitude: 14.57469 E,240 hours of continuous recordings,"Fish (e.g., Ophidion rochei), Dolphins (e.g., Tursiops truncatus)","Manual analysis, Spectrogram inspection","Spectrogram analysis, Noise categorization","Temporal and spectral analysis, Signal categorization","Adobe Audition, Raven Pro",Python,Not explicitly mentioned,Upon Request,NA,Manual signal detection and categorization,Need for mitigation measures to reduce boat noise impact; expanding study on species-specific contributions to soundscapes
Journal Article,A hidden Markov model approach to indicate Bryde's whale acoustics,2018,479-487,Ecological Indicators,,https://www.sciencedirect.com/science/article/pii/S1470160X17305939,a-hidden-markov-model-approach-to-indicate-bryde's-whale-acoustics,,1470-160X,,,,2014–2016, Habitat type: Marine environment; Elevation: Sea Level; Latitude: 36.833 S; Longitude: 175.080 E,"Total recordings: 35,518 across 17 months",Bryde’s Whales (Balaenoptera edeni),"Hidden Markov Models (HMM), Spectrogram correlation","Noise filtering, Spectrogram analysis",Statistical modeling with HMM,MatlabHTK package,Matlab,Yes,Will be deposited in the Dryad Repository post-publication,Sensitivity: 77%; False Positive Rate: 23%,Manual annotation and automated HMM testing, Expand PAM using multiple hydrophones for spatial variation; improve annotation for overlapping sounds
Journal Article,A System for Monitoring Acoustics to Supplement an Animal Welfare Plan for Bottlenose Dolphins,2021,222-233,Journal of Zoological and Botanical Gardens,2,https://www.mdpi.com/2673-5636/2/2/15,a-system-for-monitoring-acoustics-to-supplement-an-animal-welfare-plan-for-bottlenose-dolphins,,2673-5636,,2,,2021, Habitat type: Marine enclosures; Elevation: Sea level; Latitude: 32.7195 N; Longitude: -117.2161 W,Continuous recordings across 24/7 monitoring; file sizes vary,Bottlenose Dolphins (Tursiops truncatus),"Real-time whistle detection and classification, Spectrogram visualization","Harmonic filtering, Noise reduction","Whistle & Moan Detector, FFT-based frequency analysis","PAMGuard, NMMF WAMS plug-in","LabVIEW, Matlab",Available as open-source PAMGuard plug-in,Yes (contact authors for specifics),High sensitivity for whistle detection; no specific numerical value reported,Real-time analysis with thresholds for abnormal vocalization rates,Extend application to other species and environments; refine detection algorithms for overlapping signals
Journal Article,"Acoustic detections of Arctic marine mammals near Ulukhaktok, Northwest Territories, Canada",2019,72-80,Canadian Journal of Zoology,,http://dx.doi.org/10.1139/cjz-2018-0077,"acoustic-detections-of-arctic-marine-mammals-near-ulukhaktok,-northwest-territories,-canada",11,1480-3283,Canadian Science Publishing,,,2017-2018,Habitat type: Arctic marine environment; Elevation: Sea Level; Latitude: 70.7188 N; Longitude: -117.7967 W,8961 five-minute recordings; 716.4 hours during full operation," Bowhead whales, Beluga whales, Bearded seals, Ringed seals, Fish (e.g., Arctic cod, Polar cod)","Spectrogram analysis, Random forest classification","Noise filtering, Spectrogram generation"," Machine Learning (Random Forest), Manual verification","Matlab (PAMGuide package), Raven Pro",Matlab,Not explicitly stated,Not explicitly stated," Precision and recall: Bowhead whales (80%), Beluga whales (65%), Bearded seals (91%)",Manual annotation and automated testing using Random Forest,Increased vessel noise in ice-free seasons may impact marine life; suggests expanding the study to monitor seasonal variability in vessel noise and its ecological impacts
Journal Article,Acoustic localization at large scales: a promising method for grey wolf monitoring,2018,,Frontiers in Zoology,,http://dx.doi.org/10.1186/s12983-018-0260-2,acoustic-localization-at-large-scales:-a-promising-method-for-grey-wolf-monitoring,11,1742-9994,Springer Science and Business Media LLC,,,2015 (Vosges Mountains); 2016 (Côtes de Meuse),"Vosges Mountains (VM): Habitat: Mid-mountain environment; Elevation: 518–1305m; Latitude/Longitude not specified
Côtes de Meuse (CM): Habitat: Lowland environment; Elevation: 247–381m; Latitude/Longitude not specified","Total broadcasts: 354 (VM: 174; CM: 180)
59 broadcasts recorded by at least four microphones used for localization",Grey Wolf (Canis lupus),Manual localization using synthetic wolf howls; Time-of-Arrival measurements,"Manual filtering, Spectrogram analysis",Localization estimation using Sound Finder (manual Time-of-Arrival analysis),"Sound Finder (R package), Raven Pro",R,No,"Data archived at CROC Research Center, available upon request","Localization accuracy: Mean ± SD: 167 ± 308m (after error filtering)
Temporal error threshold: <200ms",Manual measurement and modeling of fixed effects using R packages,"Optimization of recording site placements for improved accuracy
Integration of automatic detection and localization systems
Expanding applications to other long-distance acoustic signal species"
Journal Article,Acoustic monitoring for conservation in tropical forests: examples from forest elephants,2017,1292-1301,Methods in Ecology and Evolution,,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12730,acoustic-monitoring-for-conservation-in-tropical-forests:-examples-from-forest-elephants,,,,,,2007–2014,Central African tropical rainforests (Gabon and Congo); 55 locations; elevation: 7–10m above ground,"Over 335,000 hours of recordings using SM2 and SWIFT recorders",Forest Elephants (Loxodonta cyclotis),"Manual and automated detection; Cross-correlation for gunshots, Algorithms for elephant rumbles","Noise filtering, Sound level adjustments","Cue-based density estimation, Gunshot localization, Temporal activity patterns","SM2, Raven Pro, Custom algorithms","Matlab, SAS for statistical tests",Not explicitly stated,Data accessible on request from Cornell University repository,Elephant call detection recall: 75–94%; Gunshot recall: 94%,Comparison of acoustic data to dung count methods and mark-recapture studies,"Improve algorithms for better recall and precision
Address challenges in large-scale data processing
Develop near-real-time communication systems for anti-poaching"
Journal Article,Acoustic phenology of tropical resident birds differs between native forest species and parkland colonizer species,2024,,Journal of Avian Biology,,http://dx.doi.org/10.1111/jav.03298,acoustic-phenology-of-tropical-resident-birds-differs-between-native-forest-species-and-parkland-colonizer-species,11,1600-048X,Wiley,,,2020-2022,"Tropical rainforests and parklands in Singapore (e.g., Sungei Buloh Wetland Reserve, Dairy Farm Nature Park, Central Catchment Nature Reserve, National University of Singapore Campus); Elevation: 7–10m above ground","Approximately 70,000 hours of recordings using AudioMoth recorders","Nine resident bird species, including Little Spiderhunter, Drongo-Cuckoo, Rufous-tailed Tailorbird, Pin-striped Tit-Babbler, Black-naped Oriole, Lineated Barbet, Straw-headed Bulbul, and Asian Koel","Machine learning-based classification, Seasonal Index calculation for vocal activity","Noise reduction, Spectrogram visualization",Custom species-specific classifiers developed using Kaleidoscope Pro; statistical analysis with custom R scripts,"Kaleidoscope Pro, Raven Pro","R (for seasonality index calculation), Python (data processing)",Custom R scripts available as supplementary information,Dataset shared upon request,Accuracy of species classifiers reached 80% after iterative training; recall rate varied by species,Comparison of classifier outputs with manual annotations of a subset of recordings; custom seasonality metrics,"Influence of urbanization on phenological patterns
Study expansion to broader avifauna and other ecosystems
Implications for conservation of native versus colonizer species"
Report,Acoustic Response and Detection of Marine Mammals Using an Advanced Digital Acoustic Recording Tag (Rev 3),2007,,,ADA606315,https://apps.dtic.mil/sti/pdfs/ADA606315.pdf,acoustic-response-and-detection-of-marine-mammals-using-an-advanced-digital-acoustic-recording-tag-(rev-3),11,,,,,2002-2006,"Ligurian Sea: Habitat type: Marine environment; Elevation: Sea Level
Canary Islands: Habitat type: Marine environment; Elevation: Sea Level","10 tagged Cuvier’s beaked whales (Ziphius cavirostris): 80 hours of data
7 tagged Blainville’s beaked whales (Mesoplodon densirostris): 70 hours of data","Cuvier’s beaked whales (Ziphius cavirostris), Blainville’s beaked whales (Mesoplodon densirostris)",DTAG recordings with calibrated hydrophones; Behavioral and dive profile analysis,"Noise filtering, Spectrogram generation","Time-of-Arrival measurements, Dive behavior modeling","DTAG, Raven Pro",Matlab,Not explicitly stated,Available upon request to collaborating research institutions,High accuracy in detecting and localizing vocalizations; no specific numeric value reported,Behavioral responses to controlled exposure experiments and ship noise,"Develop more efficient tagging protocols for elusive species
Integrate multi-sensor data for better behavioral insights
Extend monitoring to other odontocetes and baleen whales"
Journal Article,Advanced Technique for Automatic Detection and Discrimination of a Click Train With Short Interclick Intervals From the Clicks of Ganges River Dolphins (Platanista gangetica gangetica) Recorded by a Passive Acoustic Monitoring System Using Hydrophone Arrays,2014,,Marine Technology Society Journal,,https://doi.org/10.4031/MTSJ.48.3.15,advanced-technique-for-automatic-detection-and-discrimination-of-a-click-train-with-short-interclick-intervals-from-the-clicks-of-ganges-river-dolphins-(platanista-gangetica-gangetica)-recorded-by-a-passive-acoustic-monitoring-system-using-hydrophone-arrays,11,,,,,2008-2013,"Ganges River, India
Array 1: Latitude: 28.2698 N, Longitude: 78.3276 E
Array 2: Latitude: 28.2689 N, Longitude: 78.3266 E
Elevation: Riverine environment (up to 200m from the hydrophone arrays)","Over five monitoring phases with continuous recordings, analyzed click sequences exceed 50,000 intervals",Ganges River Dolphin (Platanista gangetica gangetica),"Manual annotation, Interclick Interval (ICI) discrimination algorithm","Noise reduction, Spectrogram visualization","Statistical analysis of ICIs, Click localization, Pattern detection algorithms","Custom hydrophone system, Matlab, and Raven Pro","Matlab, C++ (for system firmware)",Not explicitly stated,Limited to collaborating institutions; available upon request,"ICI detection precision: ~98%
Discrimination of overlapping click trains: High accuracy (~92%)",Manual annotation cross-validated with algorithmic outputs,"Expand to include other freshwater dolphin species
Improve localization accuracy beyond 200m range
Explore real-time deployment in other parts of the Ganges river system"
